type,language,license,rightsHolder,datasetID,institutionCode,datasetName,eventID,parentEventID,eventDate,habitat,samplingProtocol,country,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,eventRemarks
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,,UGent,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the FORMICA project,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P1:1,FORMICA:TRANSECT:BEHIT1,2020-07-01T00:00:00Z,temperate forest,light trapping,Belgium,50.5767564,5.9394485,EPSG:4326,30,"Windy, Cloudy"
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,,UGent,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the FORMICA project,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P1:2,FORMICA:TRANSECT:BEHIT1,2020-07-30T00:00:00Z,temperate forest,light trapping,Belgium,50.5767564,5.9394485,EPSG:4326,30,"Clear sky, Cold"
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,,UGent,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the FORMICA project,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P1:3,FORMICA:TRANSECT:BEHIT1,2020-09-14T00:00:00Z,temperate forest,light trapping,Belgium,50.5767564,5.9394485,EPSG:4326,30,Clear sky
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,,UGent,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the FORMICA project,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P1:4,FORMICA:TRANSECT:BEHIT1,2020-10-11T00:00:00Z,temperate forest,light trapping,Belgium,50.5767564,5.9394485,EPSG:4326,30,"Cloudy, Little bit of rain"
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,,UGent,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the FORMICA project,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P3:1,FORMICA:TRANSECT:BEHIT1,2020-07-01T00:00:00Z,temperate forest,light trapping,Belgium,50.5769375,5.9395272,EPSG:4326,30,"Windy, Cloudy"
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,,UGent,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the FORMICA project,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P3:2,FORMICA:TRANSECT:BEHIT1,2020-07-30T00:00:00Z,temperate forest,light trapping,Belgium,50.5769375,5.9395272,EPSG:4326,30,"Clear sky, Cold"
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,,UGent,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the FORMICA project,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P3:3,FORMICA:TRANSECT:BEHIT1,2020-09-14T00:00:00Z,temperate forest,light trapping,Belgium,50.5769375,5.9395272,EPSG:4326,30,Clear sky
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,,UGent,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the FORMICA project,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P3:4,FORMICA:TRANSECT:BEHIT1,2020-10-11T00:00:00Z,temperate forest,light trapping,Belgium,50.5769375,5.9395272,EPSG:4326,30,"Cloudy, Little bit of rain"
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,,UGent,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the FORMICA project,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P4:1,FORMICA:TRANSECT:BEHIT1,2020-07-01T00:00:00Z,temperate forest,light trapping,Belgium,50.5772165,5.9396408,EPSG:4326,30,"Windy, Cloudy"
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,,UGent,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the FORMICA project,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P4:2,FORMICA:TRANSECT:BEHIT1,2020-07-30T00:00:00Z,temperate forest,light trapping,Belgium,50.5772165,5.9396408,EPSG:4326,30,"Clear sky, Cold"
